Model,MSE,RMSE,MAE,R²
Linear Regression,0.12164125629385393,0.34877106573489425,0.2845670191046,0.9928127054672519
Ridge,0.24586056142806834,0.49584328313295556,0.3883640028326071,0.9854730843563342
Lasso,1.0458140118761232,1.0226504837314279,0.8704650142398203,0.938207039627488
Elastic Net,18.0861769871285,4.2527846156522555,4.054311553810467,-0.06863974393589412
Svr,0.7788249629732754,0.8825106021874612,0.758440585126955,0.9539823529541396
Random Forest,9.702890491833584,3.1149463064126137,2.1022157621777744,0.42669507115791483
