Model,MSE,RMSE,MAE,R²
Linear Regression,1.4768619260095222,1.2152620812028663,0.973587400077544,0.9985172144785959
Ridge,4.568412718893225,2.1373845510092995,1.757978793733759,0.9954132636801892
Lasso,8.94994412488365,2.991645721819957,2.577922938281258,0.9910141582418529
Elastic Net,1960.430549788839,44.27674953955901,43.34889098791154,-0.968293706913933
Svr,357.05478719161835,18.895893394905105,16.499446024274672,0.6415130896993753
Random Forest,2590.6617783370825,50.89854397069805,41.98516767517594,-1.6010527511890582
