Model,MSE,RMSE,MAE,R²
Linear Regression,1.4845990649744893,1.2184412439565928,0.9991716746380632,0.9943502249975126
Ridge,3.654775815783904,1.9117467969853916,1.540132214290329,0.9860914225726888
Lasso,6.467167992943553,2.5430627190345803,2.1218601111690676,0.975388611696285
Elastic Net,760.0007345196761,27.568110826091733,27.278427562282552,-1.8922510144751779
Svr,71.2384756751423,8.440288838371723,7.533103818375979,0.7288955863031981
Random Forest,118.1384309265447,10.869150423402221,6.817775447624775,0.5504135967555983
