Model,MSE,RMSE,MAE,R²
Linear Regression,4.162221497254322,2.0401523220716444,1.6042255689840847,0.9979991537542462
Ridge,9.546758184783677,3.089782870168012,2.2560553842939775,0.9954107211051252
Lasso,11.737274867578392,3.4259706460473933,2.62061904195306,0.9943577048050743
Elastic Net,292.94804949191416,17.115725210808748,14.625386530688333,0.8591752011723908
Svr,78.30736252765672,8.8491447342473,6.754392220222488,0.9623564021204303
Random Forest,762.4769730197015,27.612985586852094,18.17545497799708,0.6334651603845288
