Model,MSE,RMSE,MAE,R²
Linear Regression,1.4768632263654207,1.2152626162132285,0.9735876587145638,0.9985172131183904
Ridge,4.568410144132837,2.137383948693551,1.7579782902745766,0.9954132660962766
Lasso,8.949951040869738,2.991646877702938,2.577923893751385,0.9910141509670397
Elastic Net,1960.4301547438936,44.27674507847086,43.34888647998687,-0.9682933828071312
Svr,357.0218665215161,18.89502226835195,16.49867545663993,0.6415461292047135
Random Forest,2593.233637600117,50.92380226966676,42.01209809610666,-1.6036350219413888
