Model,MSE,RMSE,MAE,R²
Linear Regression,0.556591679380191,0.7460507217208432,0.5830969107247187,0.9990206392776299
Ridge,1.7670867014860316,1.329318134039415,1.0304492911804715,0.9968906913765128
Lasso,6.331633301322022,2.516273693643444,2.047724312081503,0.9888590627681122
Elastic Net,478.37518233402807,21.871789646346457,20.481567388106345,0.15826649680367277
Svr,45.947247550061256,6.7784399053219655,5.5847751421203915,0.9191527088553338
Random Forest,977.3322284366365,31.262313229136396,26.325127134717203,-0.7196821883920832
