Model,MSE,RMSE,MAE,R²
Linear Regression,6.626934403107276,2.5742832794988346,1.8530076015820671,0.9991113327130227
Ridge,13.110619342935049,3.62085892336819,2.528904795391605,0.9982418750792801
Lasso,13.878093807890002,3.725331368870426,2.6163195417291054,0.9981389572881705
Elastic Net,522.4244091926779,22.856605373341814,16.985258644561274,0.9299432506604686
Svr,53.552412845960305,7.317951410467297,4.60656158880855,0.9928186587432348
Random Forest,137.3630041931683,11.720196422977232,5.557551917083991,0.9815797168280156
