Model,MSE,RMSE,MAE,R²
Linear Regression,0.1344505329907334,0.3666749691357912,0.2885237094343593,0.995723318527797
Ridge,0.2921253046893976,0.540486174373959,0.4155437694339856,0.990707906838771
Lasso,3.546328742061295,1.8831698654293763,1.6680990099513946,0.8871962937732675
Elastic Net,78.13091516252143,8.83916937062083,8.64527747588739,-1.4852340102277233
Svr,5.03812153473043,2.244576025607159,1.9698686943359631,0.8397444729819458
Random Forest,94.23986716173127,9.70772203772498,8.380351617986506,-1.9976370109385906
