Model,MSE,RMSE,MAE,R²
Linear Regression,0.4372278418863742,0.6612320635649591,0.48457581814725886,0.9971392549967266
Ridge,0.7585709019911181,0.8709597591112451,0.6484015379484074,0.9950367343759786
Lasso,1.3701882767081905,1.1705504161325946,0.9381583851164549,0.9910349733236901
Elastic Net,9.710233379343626,3.1161247374493253,2.4801387157242702,0.936466759525815
Svr,0.7906222352633511,0.8891694075165604,0.5368591172301211,0.9948270251975531
Random Forest,1.1601817884704495,1.0771173512994996,0.7907905345317753,0.9924090281169282
