Model,MSE,RMSE,MAE,R²
Linear Regression,1.2358113377659783,1.111670516729655,0.869580128036746,0.998886454230528
Ridge,3.4994866952346726,1.8706915018876502,1.5482796853647416,0.9968467366452176
Lasso,8.855663720000528,2.975846723203419,2.573079279886901,0.9920204754804244
Elastic Net,2423.1051636018815,49.225046100556185,48.1625861667569,-1.1833741295757205
Svr,504.0397302018821,22.450829165130674,19.60031133441626,0.5458276744517185
Random Forest,3129.781523865728,55.94445034018771,46.56416529127389,-1.8201351361385876
