Model,MSE,RMSE,MAE,R²
Linear Regression,1.303497424070142,1.141708116845169,0.9089289014715539,0.9961786976985179
Ridge,7.133731691083929,2.6709046578049036,2.1471716358225286,0.9790869204450161
Lasso,27.645766584702937,5.257924170687795,4.823252030259218,0.9189543227891486
Elastic Net,1589.9244599055103,39.873856847632766,38.92896050782911,-3.6609850434908395
Svr,387.4274626295634,19.68317714774633,17.570217540324858,-0.13577321079853077
Random Forest,1628.9738320462598,40.36054796513868,36.40886537173563,-3.7754612617613343
