Model,MSE,RMSE,MAE,R²
Linear Regression,0.06505246112513224,0.2550538396596535,0.19356716277870487,0.9996339341679202
Ridge,2.5848141557429845,1.607735723227852,1.4125553645644502,0.9854546295662288
Lasso,138.25021068923618,11.757984975719104,10.819731108674617,0.22203284032857418
Elastic Net,593.9213422772295,24.370501477754402,22.44294121724536,-2.342138123451201
Svr,56.79359546153326,7.536152563578663,5.231618626910403,0.6804087897699165
Random Forest,502.63433390721644,22.41950788726676,18.21187302644588,-1.8284441893699128
